sigla,numBusinesses
ARL,275
BAR,71
BHT,246
BTW,274
CCN,197
CCY,916
CHT,438
CPK,930
ENC,622
GHL,222
HAR,105
HWD,1196
LAX,10
MSS,520
NHL,762
NLA,833
NRD,263
PLM,422
PTL,7
RES,484
SEL,819
SHR,629
SLA,799
SLD,182
SLK,331
SPD,223
SVY,392
SYL,225
VEN,240
VNY,893
WAD,634
WCH,260
WIL,1719
WLA,677
WLK,437
WLM,140
WWD,203
