sigla,numBusinesses
ARL,344
BAR,103
BHT,325
BTW,422
CCN,213
CCY,1203
CHT,533
CPK,1213
ENC,801
GHL,294
HAR,133
HWD,1744
LAX,8
MSS,606
NHL,1049
NLA,1100
NRD,338
PLM,605
PTL,9
RES,598
SEL,1099
SHR,824
SLA,1113
SLD,246
SLK,490
SPD,294
SVY,485
SYL,246
VEN,295
VNY,1232
WAD,907
WCH,410
WIL,2270
WLA,871
WLK,586
WLM,185
WWD,263
