sigla,numBusinesses
ARL,206
BAR,48
BHT,147
BTW,106
CCN,119
CCY,439
CHT,255
CPK,523
ENC,340
GHL,117
HAR,52
HWD,604
LAX,19
MSS,335
NHL,367
NLA,341
NRD,131
PLM,216
PTL,2
RES,295
SEL,405
SHR,303
SLA,397
SLD,116
SLK,159
SPD,67
SVY,247
SYL,113
VEN,84
VNY,579
WAD,277
WCH,116
WIL,843
WLA,300
WLK,180
WLM,74
WWD,104
