sigla,numBusinesses
ARL,29
BAR,14
BHT,24
BTW,19
CCN,19
CCY,110
CHT,51
CPK,110
ENC,71
GHL,26
HAR,14
HWD,135
MSS,38
NHL,88
NLA,92
NRD,35
PLM,45
RES,49
SEL,79
SHR,65
SLA,77
SLD,22
SLK,49
SPD,30
SVY,45
SYL,17
VEN,32
VNY,76
WAD,63
WCH,28
WIL,168
WLA,65
WLK,48
WLM,21
WWD,16
