sigla,numBusinesses
ARL,17
BAR,6
BHT,9
BTW,34
CCN,15
CCY,68
CHT,39
CPK,83
ENC,44
GHL,22
HAR,11
HWD,115
LAX,7
MSS,36
NHL,56
NLA,65
NRD,30
PLM,44
PTL,1
RES,32
SEL,49
SHR,57
SLA,54
SLD,22
SLK,37
SPD,28
SVY,30
SYL,30
VEN,26
VNY,63
WAD,50
WCH,33
WIL,138
WLA,60
WLK,32
WLM,19
WWD,25
