premisDesc,crimeCovidStartingPeriod,crimeFirstLockdownPeriod,crimeFirstReopeningPeriod,crimeMaskMandatePeriod,crimeRestrictionsEasedPeriod,crimeVaccineAvailabilityPeriod,crimeRestrictionsDroppedPeriod,crimeVaccineRequirementPeriod,crimeMaskMandateExtendedPeriod,crimeSecondRestrictionsEasedPeriod,crimeExecutiveOrdersDroppedPeriod
PATIO*,22,22,58,33,19,30,60,45,3,6,106
CYBERSPACE,22,34,82,48,44,46,78,108,12,102,761
BEAUTY/BARBER SHOP,22,14,75,16,29,37,72,51,5,16,147
SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,21,17,37,13,20,17,37,33,2,14,63
CAR WASH,21,27,74,17,26,23,45,32,4,13,98
TRANSIENT ENCAMPMENT,20,38,116,40,48,53,71,52,4,12,142
STUDIO (FILM/PHOTOGRAPHIC/MUSIC),18,9,26,9,10,11,31,26,2,8,60
nan,18,12,28,15,20,12,23,33,4,19,98
"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",18,19,49,16,19,18,23,38,4,4,90
MTA - RED LINE - 7TH AND METRO CENTER,17,14,24,11,16,15,17,23,3,6,70
JEWELRY STORE,17,6,65,17,15,14,30,25,4,5,72
DETENTION/JAIL FACILITY,17,7,24,7,18,3,8,12,2,2,38
AUTO SALES LOT,17,13,32,9,22,18,21,9,3,4,35
AUTOMATED TELLER MACHINE (ATM),17,38,129,77,142,123,176,219,10,84,1179
THEATRE/MOVIE,16,7,7,4,7,6,20,18,1,4,91
TOBACCO SHOP,16,17,44,11,11,14,24,35,5,9,98
MTA - RED LINE - UNION STATION,16,11,15,11,11,13,22,22,0,8,54
SYNAGOGUE/TEMPLE,15,6,18,5,13,9,18,7,0,1,39
"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",15,9,22,9,11,10,16,18,3,7,46
FREEWAY,15,14,39,18,9,10,39,22,0,4,63
PET STORE,14,7,17,5,8,5,11,12,1,0,27
MTA - RED LINE - NORTH HOLLYWOOD,14,13,21,10,18,9,24,17,3,9,55
VACANT LOT,14,15,36,7,3,12,16,15,2,5,48
PHARMACY INSIDE STORE OR SUPERMARKET*,14,20,36,15,15,14,15,29,3,5,79
PROJECT/TENEMENT/PUBLIC HOUSING,13,18,43,18,15,23,22,21,3,3,68
NAIL SALON,13,13,24,11,12,9,25,18,7,3,71
MEDICAL MARIJUANA FACILITIES/BUSINESSES,13,11,27,8,8,8,17,19,3,4,53
CHECK CASHING*,12,9,40,5,9,12,23,24,0,6,52
MTA - RED LINE - WESTLAKE/MACARTHUR PARK,12,15,28,8,11,12,21,27,1,7,96
POST OFFICE,11,13,20,11,8,10,27,21,2,5,59
HARDWARE/BUILDING SUPPLY,11,11,26,15,17,21,13,16,5,12,75
PUBLIC RESTROOM(INDOORS-INSIDE),11,3,8,3,5,9,11,11,1,2,35
SWAP MEET,11,2,11,3,11,2,12,10,1,1,25
PRIVATE SCHOOL/PRESCHOOL,11,15,28,7,11,15,20,18,0,8,57
MTA - RED LINE - PERSHING SQUARE,10,7,13,4,10,8,8,17,1,3,43
UNDERPASS/BRIDGE*,10,4,13,4,3,6,12,13,0,2,27
SHORT-TERM VACATION RENTAL,9,10,16,3,3,5,3,5,1,2,15
WEBSITE,9,27,50,29,39,23,66,65,7,28,177
NURSERY/FLOWER SHOP,9,10,19,14,7,5,13,19,0,3,33
STAPLES CENTER *,9,1,4,0,0,2,15,9,8,7,12
BALCONY*,9,24,44,18,18,24,39,24,2,5,61
MUNICIPAL BUS LINE INCLUDES LADOT/DASH,9,2,14,5,6,4,14,14,2,7,41
FOSTER HOME BOYS OR GIRLS*,8,4,5,0,0,0,4,1,0,1,4
MASSAGE PARLOR,8,4,11,8,5,4,9,13,4,3,35
MTA - EXPO LINE - EXPO/BUNDY,8,0,2,0,1,2,3,2,0,0,11
MTA - RED LINE - HOLLYWOOD/VINE,8,6,5,3,10,12,12,9,3,3,34
FURNITURE STORE,8,3,16,8,5,4,6,8,0,0,26
TOW YARD*,8,6,17,11,6,8,14,16,3,3,41
"BUS, SCHOOL, CHURCH",8,3,10,4,7,5,11,3,1,2,21
MTA - GOLD LINE - UNION STATION,7,4,6,2,2,0,3,1,1,1,10
BASKETBALL COURTS,7,0,3,1,3,1,5,2,0,0,6
"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",7,1,2,4,3,3,3,6,3,1,23
MTA - EXPO LINE - EXPO/VERMONT,7,4,5,2,3,2,7,5,2,1,18
MTA - RED LINE - HOLLYWOOD/HIGHLAND,7,4,11,8,14,7,15,16,0,4,26
STAIRWELL*,7,9,15,5,7,10,5,5,0,5,39
MTA - EXPO LINE - EXPO/WESTERN,7,2,8,2,4,6,10,11,2,2,41
"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",7,8,12,4,5,2,8,9,2,4,25
RECYCLING CENTER,7,8,16,2,4,10,8,12,3,2,46
EQUIPMENT RENTAL,7,3,4,3,1,10,7,4,0,2,18
CLEANER/LAUNDROMAT,7,14,21,5,4,8,6,5,0,2,16
FRAT HOUSE/SORORITY/DORMITORY,7,7,13,6,5,7,9,9,0,3,30
MTA - EXPO LINE - EXPO/CRENSHAW,7,3,8,0,1,2,3,8,1,5,21
DRIVE THRU*,7,9,14,5,8,13,12,6,2,2,40
SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,7,3,11,3,3,5,6,2,0,2,9
VISION CARE FACILITY*,7,6,7,1,0,2,5,5,0,2,11
MUSEUM,6,4,15,8,4,7,9,12,1,3,21
MTA - RED LINE - VERMONT/SUNSET,6,6,3,3,8,4,7,5,3,3,20
7TH AND METRO CENTER (NOT LINE SPECIFIC),6,7,12,0,8,8,8,16,2,2,46
MTA - EXPO LINE - EXPO/LA BREA,6,2,2,0,0,0,6,6,1,3,16
PUBLIC RESTROOM/OUTSIDE*,6,0,10,5,6,4,9,12,1,1,17
MTA - RED LINE - WILSHIRE/VERMONT,6,0,9,4,8,6,10,3,5,8,52
GREYHOUND OR INTERSTATE BUS,6,1,8,2,2,2,4,6,0,1,25
GUN/SPORTING GOODS,6,2,25,10,3,5,16,23,3,3,50
BUS-CHARTER/PRIVATE,6,2,11,2,6,4,5,11,1,0,22
DAY CARE/CHILDREN*,6,3,6,6,3,1,3,7,3,4,27
MTA - GREEN LINE - AVALON,6,2,6,3,0,2,5,4,0,1,7
MTA - PURPLE LINE - WILSHIRE/VERMONT,6,4,9,5,6,2,6,7,2,3,9
SKATEBOARD FACILITY/SKATEBOARD PARK*,6,3,10,1,4,2,6,2,0,1,13
MTA - RED LINE - VERMONT/SANTA MONICA,5,6,8,6,5,4,7,10,0,6,40
TATTOO PARLOR*,5,4,7,0,2,4,1,4,1,0,14
MTA - BLUE LINE - 103RD/WATTS TOWERS,5,4,6,6,5,1,6,4,0,1,5
TAXI,5,3,1,0,3,4,8,13,2,1,47
SLIPS/DOCK/MARINA/BOAT,5,8,12,5,5,3,8,7,0,1,31
"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",5,6,22,9,8,6,17,20,0,6,54
FIRE STATION,5,6,18,5,8,6,14,20,2,3,57
MTA - RED LINE - VERMONT/BEVERLY,5,3,12,4,13,9,10,9,1,5,26
