sigla,numBusinesses
ARL,81
BAR,17
BHT,89
BTW,97
CCN,87
CCY,580
CHT,150
CPK,372
ENC,157
GHL,48
HAR,40
HWD,539
LAX,5
MSS,145
NHL,269
NLA,270
NRD,79
PLM,147
PTL,4
RES,126
SEL,240
SHR,203
SLA,218
SLD,53
SLK,95
SPD,49
SVY,104
SYL,52
VEN,83
VNY,301
WAD,198
WCH,116
WIL,737
WLA,227
WLK,134
WLM,64
WWD,66
