Premis Cd>Premis Desc
221>PUBLIC STORAGE
101>STREET
834>LA UNION STATION (NOT LINE SPECIFIC)
502>MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)
108>PARKING LOT
102>SIDEWALK
501>SINGLE FAMILY DWELLING
735>NIGHT CLUB (OPEN EVENINGS ONLY)
203>OTHER BUSINESS
401>MINI-MART
750>CYBERSPACE
404>DEPARTMENT STORE
602>BANK
504>OTHER RESIDENCE
519>SHORT-TERM VACATION RENTAL
118>CONSTRUCTION SITE
109>PARK/PLAYGROUND
120>STORAGE SHED
801>MTA BUS
509>MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
210>RESTAURANT/FAST FOOD
710>OTHER PREMISE
124>BUS STOP
301>GAS STATION
103>ALLEY
518>TRANSITIONAL HOUSING/HALFWAY HOUSE
122>VEHICLE, PASSENGER/TRUCK
248>CELL PHONE STORE
704>ELEMENTARY SCHOOL
202>LIQUOR STORE
117>BEACH
146>PATIO*
402>MARKET
721>HIGH SCHOOL
207>BAR/COCKTAIL/NIGHTCLUB
725>GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)
503>HOTEL
605>AUTOMATED TELLER MACHINE (ATM)
123>PARKING UNDERGROUND/BUILDING
104>DRIVEWAY
403>DRUG STORE
907>MTA - RED LINE - VERMONT/SANTA MONICA
212>TRANSPORTATION FACILITY (AIRPORT)
722>COLLEGE/JUNIOR COLLEGE/UNIVERSITY
707>GARAGE/CARPORT
516>SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
727>SHOPPING MALL (COMMON AREA)
408>AUTO SUPPLY STORE*
121>YARD (RESIDENTIAL/BUSINESS)
405>CLOTHING STORE
507>CONDOMINIUM/TOWNHOUSE
217>AUTO REPAIR SHOP
410>MEMBERSHIP STORE (COSTCO,SAMS CLUB)*
242>DISCOUNT STORE (99 CENT,DOLLAR,ETC.
107>VACANT LOT
717>HEALTH SPA/GYM
235>PHARMACY INSIDE STORE OR SUPERMARKET*
145>MAIL BOX
506>ABANDONED BUILDING ABANDONED HOUSE
213>WAREHOUSE
406>OTHER STORE
247>CAR WASH
110>FREEWAY
900>MTA - RED LINE - UNION STATION
407>HARDWARE/BUILDING SUPPLY
720>JUNIOR HIGH SCHOOL
204>MANUFACTURING COMPANY
517>MISSIONS/SHELTERS
218>BEAUTY/BARBER SHOP
804>GREYHOUND OR INTERSTATE BUS
505>MOTEL
733>BAR/SPORTS BAR (OPEN DAY & NIGHT)
418>
119>PORCH, RESIDENTIAL
252>COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)
905>MTA - RED LINE - WILSHIRE/VERMONT
950>MTA - EXPO LINE - LA CIENEGA/JEFFERSON
222>LAUNDROMAT
220>NAIL SALON
702>OFFICE BUILDING/OFFICE
835>7TH AND METRO CENTER (NOT LINE SPECIFIC)
151>TOW YARD*
140>BALCONY*
149>RIVER BED*
116>OTHER/OUTSIDE
732>POST OFFICE
701>HOSPITAL
903>MTA - RED LINE - 7TH AND METRO CENTER
724>TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
719>MEDICAL/DENTAL OFFICES
742>SPORTS VENUE, OTHER
243>DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)
413>FURNITURE STORE
802>MUNICIPAL BUS LINE INCLUDES LADOT/DASH
708>CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
232>DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*
514>GROUP HOME
256>
716>THEATRE/MOVIE
726>POLICE FACILITY
713>CONVENTION CENTER
601>SAVINGS & LOAN
416>THE BEVERLY CENTER
158>TRANSIENT ENCAMPMENT
754>MUSEUM
706>SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
228>BOWLING ALLEY*
752>FIRE STATION
415>THE GROVE
730>SYNAGOGUE/TEMPLE
937>MTA - BLUE LINE - 103RD/WATTS TOWERS
510>NURSING/CONVALESCENT/RETIREMENT HOME
751>WEBSITE
152>UNDERPASS/BRIDGE*
868>MTA - ORANGE LINE - NORTH HOLLYWOOD
515>APARTMENT/CONDO COMMON LAUNDRY ROOM
157>VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)
741>STAPLES CENTER *
114>TAXI
205>GUN/SPORTING GOODS
904>MTA - RED LINE - WESTLAKE/MACARTHUR PARK
129>TERMINAL, OTHER THAN MTA
908>MTA - RED LINE - VERMONT/SUNSET
894>MTA - SILVER LINE - MANCHESTER
219>CLEANER/LAUNDROMAT
712>COLISEUM
756>MUSCLE BEACH
757>BASKETBALL COURTS
511>PROJECT/TENEMENT/PUBLIC HOUSING
738>LIBRARY
729>SPECIALTY SCHOOL/OTHER
231>DAY CARE/CHILDREN*
718>MASSAGE PARLOR
214>BUS DEPOT/TERMINAL, OTHER THAN MTA
201>JEWELRY STORE
957>MTA - GREEN LINE - HARBOR FWY
208>AUTO SALES LOT
216>SWAP MEET
156>VALET
125>PAY PHONE
508>FRAT HOUSE/SORORITY/DORMITORY
810>AMTRAK TRAIN
714>DODGER STADIUM
229>CHECK CASHING*
920>MTA - PURPLE LINE - WILSHIRE/VERMONT
753>DETENTION/JAIL FACILITY
409>BEAUTY SUPPLY STORE
728>ELEVATOR
709>PUBLIC RESTROOM(INDOORS-INSIDE)
913>MTA - RED LINE - NORTH HOLLYWOOD
251>RECYCLING CENTER
703>ENTERTAINMENT/COMEDY CLUB (OTHER)
917>MTA - PURPLE LINE - PERSHING SQUARE
932>MTA - BLUE LINE - PICO
962>MTA - GOLD LINE - SOTO
922>MTA - PURPLE LINE - WILSHIRE/WESTERN
910>MTA - RED LINE - HOLLYWOOD/VINE
935>MTA - BLUE LINE - WASHINGTON
744>HIGH-RISE BUILDING
128>BUS STOP/LAYOVER (ALSO QUERY 124)
872>MTA - ORANGE LINE - VAN NUYS
209>EQUIPMENT RENTAL
945>MTA - EXPO LINE - EXPO/VERMONT
912>MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
869>MTA - ORANGE LINE - LAUREL CANYON
911>MTA - RED LINE - HOLLYWOOD/HIGHLAND
411>PET STORE
968>MTA - GOLD LINE - LINCOLN/CYPRESS
748>CULTURAL SIGNIFICANCE/MONUMENT
254>STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
723>PRIVATE SCHOOL/PRESCHOOL
154>TRAIN TRACKS
249>NURSERY/FLOWER SHOP
949>MTA - EXPO LINE - EXPO/LA BREA
144>GOLF COURSE*
211>PAWN SHOP
943>MTA - EXPO LINE - JEFFERSON/USC
236>VISION CARE FACILITY*
966>MTA - GOLD LINE - UNION STATION
244>TOBACCO SHOP
138>STAIRWELL*
246>METHADONE CLINIC
139>AMUSEMENT PARK*
412>ELECTRONICS STORE (IE:RADIO SHACK, ETC.)
255>AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)
948>MTA - EXPO LINE - FARMDALE
239>MEDICAL MARIJUANA FACILITIES/BUSINESSES
414>BOOK STORE
739>SPORTS ARENA
245>CATERING/ICE CREAM TRUCK
933>MTA - BLUE LINE - GRAND/LATTC
141>CEMETARY*
711>ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*
946>MTA - EXPO LINE - EXPO/WESTERN
705>SLIPS/DOCK/MARINA/BOAT
148>PUBLIC RESTROOM/OUTSIDE*
250>COMPUTER SERVICES/REPAIRS/SALES
931>MTA - BLUE LINE - 7TH AND METRO CENTER
893>MTA - SILVER LINE - SLAUSON
952>MTA - EXPO LINE - WESTWOOD/RANCHO PARK
135>MTA PROPERTY OR PARKING LOT
936>MTA - BLUE LINE - VERNON
302>FACTORY
142>DRIVE THRU*
897>MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
947>MTA - EXPO LINE - EXPO/CRENSHAW
901>MTA - RED LINE - CIVIC CENTER/GRAND PARK
740>OTHER PLACE OF WORSHIP
417>THE BEVERLY CONNECTION
953>MTA - EXPO LINE - EXPO/SEPULVEDA
906>MTA - RED LINE - VERMONT/BEVERLY
902>MTA - RED LINE - PERSHING SQUARE
111>BUS-CHARTER/PRIVATE
238>TELECOMMUNICATION FACILITY/LOCATION
603>CREDIT UNION
233>TATTOO PARLOR*
241>ENERGY PLANT/FACILITY
951>MTA - EXPO LINE - PALMS
303>OIL REFINERY
225>RECORD-CD MUSIC/COMPUTER GAME STORE
604>FINANCE COMPANY
954>MTA - EXPO LINE - EXPO/BUNDY
909>MTA - RED LINE - HOLLYWOOD/WESTERN
230>DAY CARE/ADULTS*
878>MTA - ORANGE LINE - PIERCE COLLEGE
942>MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
876>MTA - ORANGE LINE - RESEDA
150>TOOL SHED*
234>OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
215>TRAIN DEPOT/TERMINAL, OTHER THAN MTA
880>MTA - ORANGE LINE - CANOGA
971>MTA - GOLD LINE - HIGHLAND PARK
731>MOSQUE*
811>OTHER RR TRAIN (UNION PAC, SANTE FE ETC
963>MTA - GOLD LINE - MARIACHI PLAZA
206>TV/RADIO/APPLIANCE
885>MTA - ORANGE LINE - CHATSWORTH
745>WATER FACILITY
112>BUS, SCHOOL, CHURCH
113>TRUCK, COMMERICAL
877>MTA - ORANGE LINE - TAMPA
921>MTA - PURPLE LINE - WILSHIRE/NORMANDIE
147>POOL-PUBLIC/OUTDOOR OR INDOOR*
512>FOSTER HOME BOYS OR GIRLS*
305>CHEMICAL STORAGE/MANUFACTURING PLANT
944>MTA - EXPO LINE - EXPO PARK/USC
253>MORTUARY
970>MTA - GOLD LINE - SOUTHWEST MUSEUM
809>METROLINK TRAIN
956>MTA - GREEN LINE - AVALON
915>MTA - PURPLE LINE - UNION STATION
115>AIRCRAFT
755>VETERINARIAN/ANIMAL HOSPITAL
734>HOCKEY RINK/ICE HOCKEY
126>TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)
919>MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
127>TRASH CAN/TRASH DUMPSTER
967>MTA - GOLD LINE - CHINATOWN
969>MTA - GOLD LINE - HERITAGE SQ
883>MTA - ORANGE LINE - ROSCOE
873>MTA - ORANGE LINE - SEPULVEDA
736>SKATEBOARD FACILITY/SKATEBOARD PARK*
606>DRIVE THRU BANKING (WINDOW)*
934>MTA - BLUE LINE - SAN PEDRO
143>ESCALATOR*
106>TUNNEL
237>HOSPICE
607>BANKING INSIDE MARKET-STORE *
871>MTA - ORANGE LINE - WOODMAN
958>MTA - GREEN LINE - AVIATION/LAX
304>GARMENT MANUFACTURER
940>MTA - EXPO LINE - 7TH AND METRO CENTER
895>MTA - SILVER LINE - HARBOR FWY
608>BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
941>MTA - EXPO LINE - PICO
836>HARBOR FRWY STATION (NOT LINE SPECIFIC)
892>MTA - SILVER LINE - 37TH ST/USC
964>MTA - GOLD LINE - PICO/ALISO
874>MTA - ORANGE LINE - WOODLEY
155>DAM/RESERVOIR
965>MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
513>ABATEMENT LOCATION
136>OTHER INTERSTATE, CHARTER BUS
916>MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
223>VIDEO RENTAL STORE
976>
227>ABORTION CLINIC/ABORTION FACILITY*
884>MTA - ORANGE LINE - NORDHOFF
974>
972>
973>
803>RETIRED (DUPLICATE) DO NOT USE THIS CODE
875>MTA - ORANGE LINE - BALBOA
879>MTA - ORANGE LINE - DE SOTO
743>MASS GATHERING LOCATION
898>MTA - SILVER LINE - PACIFIC COAST HWY
918>MTA - PURPLE LINE - 7TH AND METRO CENTER
105>PEDESTRIAN OVERCROSSING
961>MTA - GOLD LINE - INDIANA
240>DEPT OF DEFENSE FACILITY
870>MTA - ORANGE LINE - VALLEY COLLEGE
896>MTA - SILVER LINE - ROSECRANS
882>MTA - ORANGE LINE - SHERMAN WAY
