date,lat,lon
2022-12-29,3.40599E1,-1.182426E2
2022-12-29,3.40777E1,-1.182932E2
2022-12-29,3.40681E1,-1.182537E2
2022-12-29,3.40689E1,-1.182532E2
2022-12-29,3.40348E1,-1.182876E2
2022-12-29,3.40212E1,-1.18319E2
2022-12-29,3.40475E1,-1.182169E2
2022-12-29,3.40557E1,-1.182227E2
2022-12-29,3.40166E1,-1.18205E2
2022-12-29,3.38663E1,-1.182816E2
2022-12-29,3.37694E1,-1.182955E2
2022-12-29,3.37456E1,-1.182967E2
2022-12-29,3.37321E1,-1.18295E2
2022-12-29,3.38202E1,-1.183064E2
2022-12-29,3.40917E1,-1.183915E2
2022-12-29,3.40511E1,-1.183645E2
2022-12-29,3.40736E1,-1.183451E2
2022-12-29,3.40501E1,-1.183241E2
2022-12-29,3.40454E1,-1.183213E2
2022-12-29,3.40534E1,-1.183507E2
2022-12-29,3.40449E1,-1.183378E2
2022-12-29,3.41576E1,-1.184387E2
2022-12-29,3.41903E1,-1.184574E2
2022-12-29,3.41603E1,-1.184399E2
2022-12-29,3.41595E1,-1.184269E2
2022-12-29,3.41794E1,-1.184225E2
2022-12-29,3.42148E1,-1.185404E2
2022-12-29,3.42009E1,-1.185208E2
2022-12-29,3.41892E1,-1.184902E2
2022-12-29,3.41164E1,-1.182332E2
2022-12-29,3.41119E1,-1.182529E2
2022-12-29,3.39655E1,-1.182871E2
2022-12-29,3.39563E1,-1.183058E2
2022-12-29,3.39519E1,-1.183134E2
2022-12-29,3.3995E1,-1.183204E2
2022-12-29,3.39669E1,-1.182783E2
2022-12-29,3.39792E1,-1.182937E2
2022-12-29,3.40341E1,-1.182507E2
2022-12-29,3.39786E1,-1.182761E2
2022-12-29,3.40226E1,-1.18266E2
2022-12-29,3.40039E1,-1.182634E2
2022-12-29,3.40271E1,-1.182626E2
2022-12-29,3.3949E1,-1.183744E2
2022-12-29,3.39954E1,-1.184689E2
2022-12-29,3.42012E1,-1.183747E2
2022-12-29,3.41813E1,-1.183722E2
2022-12-29,3.42198E1,-1.184053E2
2022-12-29,3.42649E1,-1.184238E2
2022-12-29,3.4225E1,-1.183963E2
2022-12-29,3.42429E1,-1.184881E2
2022-12-29,3.4245E1,-1.185216E2
2022-12-29,3.39456E1,-1.182652E2
2022-12-29,3.39502E1,-1.182565E2
2022-12-29,3.42411E1,-1.184251E2
2022-12-29,3.43253E1,-1.184393E2
2022-12-29,3.42179E1,-1.184544E2
2022-12-29,3.40599E1,-1.183143E2
2022-12-29,3.40737E1,-1.183067E2
2022-12-29,3.40382E1,-1.182866E2
2022-12-29,3.40597E1,-1.18302E2
2022-12-29,3.4043E1,-1.182571E2
2022-12-29,3.40487E1,-1.182588E2
2022-12-29,3.40336E1,-1.183441E2
2022-12-29,3.40318E1,-1.18201E2
2022-12-29,3.37907E1,-1.182829E2
2022-12-29,3.40717E1,-1.183702E2
2022-12-29,3.41867E1,-1.18464E2
2022-12-29,3.41236E1,-1.182085E2
2022-12-29,3.42345E1,-1.183689E2
2022-12-29,3.40704E1,-1.182877E2
2022-12-29,3.40483E1,-1.182631E2
2022-12-29,3.40483E1,-1.182631E2
2022-12-29,3.40981E1,-1.183092E2
2022-12-29,3.40981E1,-1.183092E2
2022-12-29,3.40734E1,-1.183765E2
2022-12-29,3.40669E1,-1.183456E2
2022-12-29,3.40736E1,-1.183563E2
2022-12-29,3.40736E1,-1.183563E2
2022-12-29,3.40736E1,-1.183563E2
2022-12-29,3.40819E1,-1.183441E2
2022-12-29,3.40736E1,-1.183563E2
2022-12-29,3.40611E1,-1.184184E2
2022-12-29,3.40428E1,-1.184582E2
2022-12-29,3.41903E1,-1.184399E2
2022-12-29,3.39893E1,-1.182594E2
2022-12-29,3.42012E1,-1.183845E2
2022-12-29,3.41936E1,-1.184166E2
2022-12-29,3.41938E1,-1.186044E2
2022-12-29,3.41904E1,-1.186059E2
2022-12-29,3.40981E1,-1.183092E2
2022-12-29,3.40611E1,-1.184184E2
2022-12-29,3.42463E1,-1.184189E2
2022-12-29,3.40408E1,-1.182428E2
2022-12-29,3.40488E1,-1.182691E2
2022-12-29,3.4183E1,-1.184182E2
2022-12-29,3.41867E1,-1.18429E2
2022-12-29,3.41428E1,-1.182261E2
2022-12-29,3.396E1,-1.18309E2
2022-12-29,3.39455E1,-1.184001E2
2022-12-29,3.39866E1,-1.184548E2
2022-12-29,3.41958E1,-1.183987E2
2022-12-29,3.42429E1,-1.183417E2
2022-12-29,3.42065E1,-1.186003E2
2022-12-29,3.4043E1,-1.182606E2
2022-12-29,3.40304E1,-1.183677E2
2022-12-29,3.41277E1,-1.183447E2
2022-12-29,3.40926E1,-1.183342E2
2022-12-29,3.40622E1,-1.183429E2
2022-12-29,3.40622E1,-1.183407E2
2022-12-29,3.40626E1,-1.18447E2
2022-12-29,3.4053E1,-1.184101E2
2022-12-29,3.415E1,-1.184424E2
2022-12-29,3.41129E1,-1.182057E2
2022-12-29,3.39427E1,-1.184049E2
2022-12-29,3.39431E1,-1.18401E2
2022-12-29,3.4024E1,-1.18409E2
2022-12-29,3.42429E1,-1.183417E2
2022-12-29,3.42216E1,-1.183895E2
2022-12-29,3.42214E1,-1.184661E2
2022-12-29,3.41684E1,-1.186021E2
2022-12-29,3.40524E1,-1.182467E2
2022-12-29,3.4048E1,-1.182577E2
2022-12-29,3.40547E1,-1.182505E2
2022-12-29,3.40452E1,-1.182569E2
2022-12-29,3.40517E1,-1.182456E2
2022-12-29,3.40509E1,-1.182642E2
2022-12-29,3.37824E1,-1.182462E2
2022-12-29,3.37908E1,-1.182845E2
2022-12-29,3.37415E1,-1.182836E2
2022-12-29,3.41009E1,-1.183414E2
2022-12-29,3.41039E1,-1.183297E2
2022-12-29,3.41201E1,-1.183163E2
2022-12-29,3.41054E1,-1.18302E2
2022-12-29,3.41127E1,-1.183169E2
2022-12-29,3.40726E1,-1.183463E2
2022-12-29,3.41297E1,-1.184936E2
2022-12-29,3.40571E1,-1.184238E2
2022-12-29,3.41517E1,-1.184536E2
2022-12-29,3.42157E1,-1.184771E2
2022-12-29,3.42206E1,-1.184982E2
2022-12-29,3.42139E1,-1.185077E2
2022-12-29,3.41381E1,-1.181874E2
2022-12-29,3.39862E1,-1.183002E2
2022-12-29,3.40316E1,-1.1823E2
2022-12-29,3.417E1,-1.183719E2
2022-12-29,3.41649E1,-1.183746E2
2022-12-29,3.41681E1,-1.183743E2
2022-12-29,3.42157E1,-1.184009E2
2022-12-29,3.42153E1,-1.184409E2
2022-12-29,3.42267E1,-1.184704E2
2022-12-29,3.40817E1,-1.183125E2
2022-12-29,3.40672E1,-1.183041E2
2022-12-29,3.42035E1,-1.18571E2
2022-12-29,3.40509E1,-1.182642E2
2022-12-29,3.40219E1,-1.182959E2
2022-12-29,3.37321E1,-1.18295E2
2022-12-29,3.41007E1,-1.183494E2
2022-12-29,3.40372E1,-1.182418E2
2022-12-29,3.41558E1,-1.183922E2
2022-12-29,3.40622E1,-1.182523E2
2022-12-29,3.38133E1,-1.182988E2
2022-12-29,3.40662E1,-1.183506E2
2022-12-29,3.40519E1,-1.183306E2
2022-12-29,3.40519E1,-1.183306E2
2022-12-29,3.4075E1,-1.185582E2
2022-12-29,3.4037E1,-1.184221E2
2022-12-29,3.40387E1,-1.185206E2
2022-12-29,3.4148E1,-1.184312E2
2022-12-29,3.41993E1,-1.184606E2
2022-12-29,3.4147E1,-1.184412E2
2022-12-29,3.41806E1,-1.185273E2
2022-12-29,3.41117E1,-1.18236E2
2022-12-29,3.41092E1,-1.182528E2
2022-12-29,3.39969E1,-1.183068E2
2022-12-29,3.39994E1,-1.183108E2
2022-12-29,3.39629E1,-1.182608E2
2022-12-29,3.39927E1,-1.184145E2
2022-12-29,3.40137E1,-1.184323E2
2022-12-29,3.42067E1,-1.183878E2
2022-12-29,3.4163E1,-1.183774E2
2022-12-29,3.42448E1,-1.186134E2
2022-12-29,3.39176E1,-1.182829E2
2022-12-29,3.39348E1,-1.182739E2
2022-12-29,3.42482E1,-1.184674E2
2022-12-29,3.41665E1,-1.186364E2
2022-12-29,3.4201E1,-1.186016E2
2022-12-29,3.4201E1,-1.186016E2
2022-12-29,3.4201E1,-1.186016E2
2022-12-29,3.40202E1,-1.183119E2
2022-12-29,3.4018E1,-1.182065E2
2022-12-29,3.37361E1,-1.182924E2
2022-12-29,3.37442E1,-1.183024E2
2022-12-29,3.37614E1,-1.182989E2
2022-12-29,3.42138E1,-1.184618E2
2022-12-29,3.41498E1,-1.18466E2
2022-12-29,3.4147E1,-1.184249E2
2022-12-29,3.42138E1,-1.184618E2
2022-12-29,3.41116E1,-1.182467E2
2022-12-29,3.40218E1,-1.182706E2
2022-12-29,3.42904E1,-1.185227E2
2022-12-29,3.42264E1,-1.185405E2
2022-12-29,3.4251E1,-1.184428E2
2022-12-29,3.40256E1,-1.183317E2
2022-12-29,3.40854E1,-1.183703E2
2022-12-29,3.40649E1,-1.183385E2
2022-12-29,3.42048E1,-1.184335E2
2022-12-29,3.40799E1,-1.182645E2
2022-12-29,3.41321E1,-1.182796E2
2022-12-29,3.39807E1,-1.183207E2
2022-12-29,3.40312E1,-1.182477E2
2022-12-29,3.39911E1,-1.182499E2
2022-12-29,3.40253E1,-1.18442E2
2022-12-29,3.42181E1,-1.184664E2
2022-12-29,3.42325E1,-1.184276E2
2022-12-29,3.41892E1,-1.185928E2
2022-12-29,3.42216E1,-1.184402E2
2022-12-29,3.41649E1,-1.1839E2
2022-12-29,3.40444E1,-1.18461E2
2022-12-29,3.40502E1,-1.182539E2
2022-12-29,3.39892E1,-1.182783E2
2022-12-29,3.39792E1,-1.182564E2
2022-12-29,3.39599E1,-1.183801E2
2022-12-29,3.41773E1,-1.184041E2
2022-12-29,3.41267E1,-1.183316E2
2022-12-29,3.40598E1,-1.182734E2
2022-12-29,3.40736E1,-1.183563E2
2022-12-29,3.41137E1,-1.182295E2
2022-12-29,3.41207E1,-1.182641E2
2022-12-29,3.41681E1,-1.183743E2
2022-12-29,3.42821E1,-1.183925E2
2022-12-29,3.39601E1,-1.182651E2
2022-12-29,3.40817E1,-1.183091E2
2022-12-29,3.40443E1,-1.182892E2
2022-12-29,3.42011E1,-1.185772E2
2022-12-29,3.40229E1,-1.182959E2
2022-12-29,3.40427E1,-1.182237E2
2022-12-29,3.40717E1,-1.183702E2
2022-12-29,3.40609E1,-1.184223E2
2022-12-29,3.41686E1,-1.18522E2
2022-12-29,3.40988E1,-1.182061E2
2022-12-29,3.39455E1,-1.184E2
2022-12-29,3.39429E1,-1.18403E2
2022-12-29,3.42048E1,-1.183845E2
2022-12-29,3.4198E1,-1.184216E2
2022-12-29,3.42419E1,-1.182682E2
2022-12-29,3.42539E1,-1.183768E2
2022-12-29,3.42373E1,-1.185623E2
2022-12-29,3.42083E1,-1.185841E2
2022-12-29,3.39419E1,-1.183725E2
2022-12-29,3.40535E1,-1.182491E2
2022-12-29,3.40455E1,-1.182381E2
2022-12-29,3.40408E1,-1.182644E2
2022-12-29,3.40656E1,-1.182621E2
2022-12-29,3.40776E1,-1.182635E2
2022-12-29,3.40849E1,-1.182759E2
2022-12-29,3.40876E1,-1.182783E2
2022-12-29,3.40073E1,-1.183089E2
2022-12-29,3.40265E1,-1.182883E2
2022-12-29,3.40309E1,-1.183002E2
2022-12-29,3.40288E1,-1.183526E2
2022-12-29,3.40795E1,-1.181949E2
2022-12-29,3.37307E1,-1.183056E2
2022-12-29,3.378E1,-1.182782E2
2022-12-29,3.37316E1,-1.183056E2
2022-12-29,3.37306E1,-1.182902E2
2022-12-29,3.40962E1,-1.183237E2
2022-12-29,3.40961E1,-1.183441E2
2022-12-29,3.40964E1,-1.183471E2
2022-12-29,3.40962E1,-1.183223E2
2022-12-29,3.40835E1,-1.183428E2
2022-12-29,3.40855E1,-1.18367E2
2022-12-29,3.41536E1,-1.184259E2
2022-12-29,3.42048E1,-1.184771E2
2022-12-29,3.4213E1,-1.185386E2
2022-12-29,3.40874E1,-1.182177E2
2022-12-29,3.41139E1,-1.182792E2
2022-12-29,3.39762E1,-1.182959E2
2022-12-29,3.39996E1,-1.182938E2
2022-12-29,3.39543E1,-1.182606E2
2022-12-29,3.42948E1,-1.184641E2
2022-12-29,3.42247E1,-1.184281E2
2022-12-29,3.40817E1,-1.183135E2
2022-12-29,3.40472E1,-1.182782E2
2022-12-29,3.40509E1,-1.182642E2
2022-12-29,3.40293E1,-1.182816E2
2022-12-29,3.38684E1,-1.182858E2
2022-12-29,3.37316E1,-1.183034E2
2022-12-29,3.37406E1,-1.182902E2
2022-12-29,3.40907E1,-1.183384E2
2022-12-29,3.40353E1,-1.184171E2
2022-12-29,3.41564E1,-1.18463E2
2022-12-29,3.40028E1,-1.183138E2
2022-12-29,3.39872E1,-1.183352E2
2022-12-29,3.42355E1,-1.185885E2
2022-12-29,3.42355E1,-1.185885E2
2022-12-29,3.41907E1,-1.184487E2
2022-12-29,3.41877E1,-1.186015E2
2022-12-29,3.41884E1,-1.185975E2
2022-12-29,3.40669E1,-1.183456E2
2022-12-29,3.42131E1,-1.184584E2
2022-12-29,3.40998E1,-1.183237E2
2022-12-29,3.40997E1,-1.18335E2
2022-12-29,3.4098E1,-1.18331E2
2022-12-29,3.41192E1,-1.183004E2
2022-12-29,3.40237E1,-1.184366E2
2022-12-29,3.40121E1,-1.182959E2
2022-12-29,3.4218E1,-1.183683E2
2022-12-29,3.40452E1,-1.182533E2
2022-12-29,3.4066E1,-1.182141E2
2022-12-28,3.40528E1,-1.18255E2
2022-12-28,3.40415E1,-1.18262E2
2022-12-28,3.4053E1,-1.182512E2
2022-12-28,3.40656E1,-1.18268E2
2022-12-28,3.40535E1,-1.182608E2
2022-12-28,3.40212E1,-1.183781E2
