date,acronym,count
2022-12-23,WLK,14
2022-12-23,WIL,34
2022-12-23,SLA,25
2022-12-23,WAD,20
2022-12-23,NLA,9
2022-12-23,BHT,6
2022-12-23,SPD,3
2022-12-23,WLM,5
2022-12-23,HWD,18
2022-12-23,BAR,3
2022-12-23,BTW,5
2022-12-23,RES,6
2022-12-23,SLK,6
2022-12-23,SEL,29
2022-12-23,VEN,9
2022-12-23,SVY,8
2022-12-23,ARL,6
2022-12-23,SLD,5
2022-12-23,NRD,4
2022-12-23,HAR,2
2022-12-23,MSS,5
2022-12-23,SYL,6
2022-12-23,CPK,17
2022-12-23,WLA,7
2022-12-23,NHL,7
2022-12-23,SHR,13
2022-12-23,CHT,11
2022-12-23,VNY,6
2022-12-23,ENC,6
2022-12-23,WCH,9
2022-12-23,LAX,2
2022-12-23,PLM,12
2022-12-23,CCN,6
2022-12-23,WWD,3
2022-12-23,GHL,2
2022-12-22,CCN,9
2022-12-22,SLA,17
2022-12-22,WAD,11
2022-12-22,BHT,4
2022-12-22,HAR,4
2022-12-22,SPD,4
2022-12-22,WLM,2
2022-12-22,HWD,24
2022-12-22,WIL,34
2022-12-22,BTW,12
2022-12-22,WLA,12
2022-12-22,RES,5
2022-12-22,SLK,7
2022-12-22,SEL,16
2022-12-22,WCH,13
2022-12-22,SHR,10
2022-12-22,SVY,7
2022-12-22,NHL,8
2022-12-22,ARL,7
2022-12-22,GHL,3
2022-12-22,SYL,5
2022-12-22,MSS,9
2022-12-22,CPK,13
2022-12-22,CCY,21
2022-12-22,NLA,9
2022-12-22,VNY,9
2022-12-22,PLM,7
2022-12-22,SLD,4
2022-12-22,PTL,1
2022-12-22,LAX,2
2022-12-22,CHT,7
2022-12-22,ENC,3
2022-12-22,VEN,5
2022-12-22,NRD,4
2022-12-22,WLK,4
2022-12-21,CCY,22
2022-12-21,SLK,5
2022-12-21,WLK,15
2022-12-21,SLA,29
2022-12-21,BHT,4
2022-12-21,HAR,3
2022-12-21,WLM,5
2022-12-21,WIL,28
2022-12-21,WLA,14
2022-12-21,VNY,9
2022-12-21,ENC,7
2022-12-21,SEL,26
2022-12-21,WCH,10
2022-12-21,PLM,12
2022-12-21,VEN,4
2022-12-21,NHL,11
2022-12-21,SVY,3
2022-12-21,NRD,3
2022-12-21,GHL,8
2022-12-21,MSS,8
2022-12-21,CPK,10
2022-12-21,LAX,3
2022-12-21,HWD,23
2022-12-21,WWD,3
2022-12-21,NLA,10
2022-12-21,RES,3
2022-12-21,CHT,4
2022-12-21,SYL,1
2022-12-21,WAD,4
2022-12-21,CCN,8
2022-12-21,SPD,2
2022-12-21,BTW,2
2022-12-21,SHR,6
2022-12-21,SLD,5
2022-12-21,ARL,1
2022-12-20,CCY,25
2022-12-20,CCN,11
2022-12-20,SLK,5
2022-12-20,WLK,3
2022-12-20,SLA,16
2022-12-20,BHT,4
2022-12-20,SPD,8
2022-12-20,HAR,6
2022-12-20,WLM,2
2022-12-20,HWD,18
2022-12-20,WIL,34
2022-12-20,WAD,8
2022-12-20,WLA,8
2022-12-20,VNY,15
2022-12-20,RES,9
2022-12-20,NLA,12
2022-12-20,SEL,16
2022-12-20,WCH,7
2022-12-20,NHL,11
2022-12-20,SHR,11
2022-12-20,ARL,6
2022-12-20,SVY,3
2022-12-20,NRD,3
2022-12-20,GHL,1
2022-12-20,CHT,6
2022-12-20,MSS,4
2022-12-20,SYL,2
2022-12-20,CPK,11
2022-12-20,BAR,1
2022-12-20,ENC,3
2022-12-20,VEN,3
2022-12-20,SLD,7
2022-12-20,BTW,4
2022-12-20,WWD,3
2022-12-20,LAX,3
2022-12-20,PLM,5
2022-12-19,CCN,5
2022-12-19,CCY,25
2022-12-19,WLK,2
2022-12-19,HWD,14
2022-12-19,SLK,9
2022-12-19,SLA,23
2022-12-19,SPD,7
2022-12-19,WLM,3
2022-12-19,WAD,5
2022-12-19,WIL,32
2022-12-19,WLA,7
2022-12-19,VNY,15
2022-12-19,RES,6
2022-12-19,SEL,12
2022-12-19,PLM,11
2022-12-19,SHR,10
2022-12-19,NHL,15
2022-12-19,SVY,7
2022-12-19,SLD,4
2022-12-19,CHT,7
2022-12-19,NRD,3
2022-12-19,GHL,5
2022-12-19,HAR,3
2022-12-19,MSS,11
2022-12-19,SYL,4
2022-12-19,CPK,10
2022-12-19,LAX,3
2022-12-19,BHT,3
2022-12-19,BTW,3
2022-12-19,NLA,11
2022-12-19,ENC,7
2022-12-19,VEN,1
2022-12-19,WCH,7
2022-12-19,ARL,4
2022-12-19,WWD,1
2022-12-18,CCY,17
2022-12-18,CCN,14
2022-12-18,SEL,24
2022-12-18,SLK,5
2022-12-18,WAD,10
2022-12-18,NLA,7
2022-12-18,SPD,5
2022-12-18,HAR,5
2022-12-18,HWD,24
2022-12-18,WIL,23
2022-12-18,WLA,8
2022-12-18,VNY,11
2022-12-18,SHR,4
2022-12-18,ENC,4
2022-12-18,SLA,14
2022-12-18,PLM,7
2022-12-18,VEN,9
2022-12-18,NHL,7
2022-12-18,ARL,2
2022-12-18,SVY,8
2022-12-18,SLD,5
2022-12-18,GHL,4
2022-12-18,MSS,4
2022-12-18,WLM,3
2022-12-18,BHT,2
2022-12-18,CPK,10
2022-12-18,LAX,5
2022-12-18,WLK,6
2022-12-18,BTW,4
2022-12-18,WWD,1
2022-12-18,CHT,2
2022-12-18,SYL,2
2022-12-18,RES,2
2022-12-18,WCH,5
2022-12-18,NRD,2
2022-12-17,WLK,7
2022-12-17,SLA,21
2022-12-17,NLA,13
2022-12-17,HAR,2
2022-12-17,WLM,4
2022-12-17,HWD,24
2022-12-17,WIL,28
2022-12-17,WWD,6
2022-12-17,WLA,12
2022-12-17,VNY,13
